timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
461.031,0.0137278,-0.163256,-9.69426,-0.000829393,-0.000208987,-0.000503351
461.038,-0.00890673,-0.178017,-9.67708,-0.000264694,-0.000768262,-0.000431881
461.044,0.00943931,-0.173461,-9.65251,-0.000429237,0.000864353,-0.000265897
461.05,0.00565413,-0.169308,-9.66084,0.00015559,0.000264325,-0.000975178
461.056,0.000772094,-0.178833,-9.67793,-0.000122528,-0.000810775,-0.000597841
461.063,0.0404343,-0.173112,-9.65584,0.000700121,-0.00100193,-0.000266995
461.069,0.00713742,-0.154062,-9.6518,-0.000297901,0.000337446,-1.49803e-05
461.075,0.0223429,-0.186165,-9.64003,0.000304075,0.000582187,-0.000982603
461.081,0.0122988,-0.17768,-9.65632,-0.00069399,0.00053529,-0.000312801
461.088,0.00291185,-0.190278,-9.6262,-0.000132025,6.24092e-05,0.000153091
461.094,-0.00182766,-0.168706,-9.67509,0.000248559,0.000613744,-0.000529611
461.1,0.0194367,-0.174437,-9.66256,0.00044261,-0.000953941,0.000429233
461.106,0.0298242,-0.142625,-9.65607,0.00066059,-2.95054e-05,-0.000568009
461.113,0.0172912,-0.159035,-9.67504,6.41472e-05,-0.000240975,-0.000751988
461.119,0.00895591,-0.179882,-9.65925,-0.000620395,-0.000964894,-0.000364984
461.125,0.0163036,-0.175003,-9.63812,0.000683241,-0.000176928,-0.000663936
461.131,-0.000715264,-0.183788,-9.61989,-0.00157289,-0.000424933,-0.00102337
461.138,-0.000790209,-0.177377,-9.65894,0.000106521,0.000207912,-0.00112226
461.144,0.00881068,-0.15847,-9.65027,0.00106903,-0.000206017,-0.000225799
461.15,0.00363658,-0.168378,-9.6339,0.0009201,-9.97707e-05,-0.000780971
461.156,0.0252684,-0.176409,-9.66815,-0.00072151,-0.000672027,-0.000200461
461.163,0.0084038,-0.187128,-9.66186,-0.000660436,-0.000490621,-0.000506956
461.169,0.0126566,-0.170037,-9.67315,0.00127043,0.00104376,-0.000284419
461.175,0.00813519,-0.179481,-9.67014,-0.00119909,0.000546798,0.000845577
461.181,0.00509122,-0.186154,-9.65938,-4.7303e-05,-0.000315751,-0.00141557
461.188,0.0189833,-0.166132,-9.68793,-0.000386167,0.000521696,-0.00128818
461.194,0.0347123,-0.168586,-9.6229,9.13041e-05,0.000228361,0.000409103
461.2,0.0294838,-0.170181,-9.65039,0.000658162,0.000276631,-0.000226388
461.206,0.00688576,-0.173303,-9.65154,0.000901124,-0.000200511,0.000235788
461.213,0.0150199,-0.173335,-9.66919,0.000260701,0.00129891,-0.000354381
461.219,0.000868089,-0.172656,-9.64642,0.000856046,-2.91531e-05,-0.000490464
461.225,0.0229198,-0.173203,-9.65423,0.000558251,0.000208332,9.58955e-05
461.231,0.0209986,-0.189645,-9.65672,-0.00069655,0.00131633,-0.000185329
461.238,0.0138807,-0.169575,-9.61732,0.00160141,-0.00165236,0.000508737
461.244,0.00103023,-0.173351,-9.65033,0.00129679,0.000553619,0.000342811
461.25,0.0194528,-0.180368,-9.64214,0.000154454,0.000430783,0.000278767
461.256,0.0240803,-0.156063,-9.64657,0.000357755,-0.000267062,-0.000381866
461.263,0.043946,-0.175964,-9.69236,-0.000240473,0.000154548,0.000384951
461.269,0.0221076,-0.181734,-9.66218,-0.00103229,-0.000904498,-0.000668197
461.275,-0.00593879,-0.166014,-9.66162,-0.000189789,-0.00107672,-0.00081713
461.281,0.0207511,-0.173269,-9.63264,0.000351207,0.000718619,-0.00136062
461.288,0.011666,-0.147686,-9.65294,0.000371411,3.38713e-05,-0.00121692
461.294,0.0318893,-0.178065,-9.66275,0.00043898,0.000259064,-0.000779503
461.3,0.0254056,-0.188968,-9.60476,-0.000852208,-0.000774679,0.000143602
461.306,0.00303956,-0.186357,-9.64559,7.53249e-05,-0.00026999,-0.000843702
461.313,0.0239461,-0.167118,-9.63698,7.37505e-05,0.000270519,0.00018331
461.319,-0.00410632,-0.191852,-9.64551,-0.000300137,0.000122281,-0.000187364
461.325,0.0170596,-0.191988,-9.62541,0.000594044,-0.000624909,-0.000263517
461.331,0.00714997,-0.171994,-9.64073,0.000891197,-0.000128996,-0.0011946
461.338,3.21353e-06,-0.159213,-9.66652,0.000167221,-0.000889984,0.000659448
461.344,0.000805424,-0.168205,-9.66578,0.0011112,-3.30413e-05,-0.00106166
461.35,0.0143386,-0.173782,-9.65061,-0.000724656,0.000776667,-1.00629e-05
